file,line_or_section,found_text,canonical_term,violation_type,notes
help/key-concepts.mdx,42,"""Print QR codes in bulk without knowing final destinations"" (bullet under Link's ""Why this matters"")",Destination,casing-variant,"Lowercase in a bullet list where the surrounding bullets ('Generate Links...', 'Reassign Links...', 'Change where Links point...') all capitalize the sibling term Link."
help/print-first-workflow.mdx,"90, 102","""A Link can go straight to a single destination"" / ""the destination is held by QRtub rather than baked into the code""",Destination,casing-variant,"This file capitalizes Link, Item and Page consistently but lowercases 'destination' in these two spots — an intra-file casing inconsistency for a term the glossary treats as a proper product noun."
help/app-links.mdx,84,"""...for that specific item — no per-item configuration""",Item,casing-variant,"Lowercase 'item' where the equivalent phrase is capitalized elsewhere (see integrations/safetyculture.mdx lines 88 & 110, integrations/cmms-systems.mdx line 54, help/conditional-visibility.mdx line 210, all of which write 'per Item'). Same phrase, inconsistent casing across the corpus."
industries/electrical-test-and-tag.mdx,130,"""...client—no per-item configuration needed""",Item,casing-variant,"Same 'per-item' vs 'per Item' inconsistency as help/app-links.mdx — see notes there for the capitalized instances elsewhere in the corpus."
help/media-basics.mdx,47,"""Track what's been produced, what's installed, or what's in stock"" context — ""per item""",Item,casing-variant,"Another lowercase 'per item' instance; contrast with capitalized 'per Item' in integrations/safetyculture.mdx, integrations/cmms-systems.mdx and help/conditional-visibility.mdx."
help/key-concepts.mdx,190,"""**Page templates** - Design how Pages look for this category""",Page Template,casing-variant,"GLOSSARY.md's canonical form is 'Page Template' (both words capitalized: 'A reusable Page design. Can be system-provided or customer-saved.'). This is the page every other help doc treats as authoritative for entity names, and it lowercases the second word."
industries/arboriculture-tree-management.mdx,167,"""Configure Page template once. Deploy to 500, 5,000, or 50,000 trees""",Page Template,casing-variant,"Lowercase 'template' — same casing slip as key-concepts.mdx line 190."
industries/contract-cleaning.mdx,131,"""Configure Page template once. Deploy to 10, 50, or 100+ facilities""",Page Template,casing-variant,"Lowercase 'template' — third instance of the same casing slip on the canonical term Page Template."
help/building-a-page.mdx,18,"""open the **Profile page** tab and choose **Edit profile page**""",Page,deprecated-synonym-quoting-ui,"GLOSSARY 'What NOT to Call Things' bans capitalised 'Profile Page' as a product term ('One Page Editor, many uses'). This is quoting the *actual current app UI tab label* (GLOSSARY's own 'Not Yet Aligned in the Product' table confirms the app UI still literally says 'Profile page' in tub settings), so it isn't a docs-writing error so much as an unresolved product/glossary gap the docs are forced to describe verbatim. Still worth flagging because a reader sees the exact banned term rendered as a bold, capitalized UI label in running prose with no caveat that it's a legacy name."
help/building-a-page.mdx,12,"""turn on the page option (labelled **Show a profile page** in the current app)""",Page,deprecated-synonym-quoting-ui,"Same UI-label caveat as line 18 — lowercase this time, quoting the actual checkbox text. Consistent with GLOSSARY's acknowledged app/docs mismatch, not a new error, but the docs never gloss it for the reader beyond '(in the current app)'."
help/pages-overview.mdx,44,"""turn on the page option (labelled \""Show a profile page\"" in the current app)""",Page,deprecated-synonym-quoting-ui,"Same quoted-UI-label situation as building-a-page.mdx line 12."
index.mdx,"whole page (nav position 1 of 20)","""Update Destinations whenever requirements change"" (line 8); ""One QR code with a Page serves them all"" (line 18); ""Pages with multiple destinations"" (line 30)",Destination / Page,used-before-defined,"Index.mdx is the very first page in docs.json nav order and the page most likely to be a cold single-page retrieval hit. It uses 'Destination' and 'Page' as capitalized proper-noun product terms with no inline explanation of either, and does not link to help/key-concepts.mdx (the page that defines both) — its only outbound links are to /industries and /integrations. A reader (or an LLM answering from just this page) has no way to learn what a Destination or a Page actually is from this page alone."
help/creating-your-first-link.mdx,"33-34, 38-39 (nav position 2 of 20)","""Connect the Link to an Item""; ""Set up a Page with multiple Destinations""; ""[Direct Mode vs Page Mode](/help/key-concepts#link-modes)""",Item / Page / Destination / Direct Mode / Page Mode,used-before-defined,"Item, Page and Destinations are all used here with zero inline definition; the page links forward to Key Concepts under 'Next Steps' (good), but a reader who stops at this page — the literal 'Getting Started' entry point — has been handed five undefined proper nouns (Link, Item, Page, Destination, and implicitly Direct/Page Mode via the link text) before the glossary page that explains any of them."
help/building-a-page.mdx,"151-156 (Related section)","Related: Pages Overview, Using Fields, Conditional Visibility, Custom Fields — no link to Key Concepts",Tub / Item / Destination / Link,used-before-defined,"This page uses Tub, Item, Destination and Link throughout (e.g. 'Pages must be switched on for the Tub', 'switching to a different Item clears the undo history') but its Related list omits help/key-concepts.mdx, unlike conditional-visibility.mdx, device-detection.mdx, print-batches.mdx and safetyculture.mdx, which all include it. A cold reader of this page has no forward path to the entity definitions."
help/using-fields.mdx,"334-340 (Related section)","Related: Conditional Visibility, Device Detection, Mitti Integration, CMMS Integration, Pages Overview — no Key Concepts link",Tub / Item / Destination,used-before-defined,"Same gap as building-a-page.mdx: heavy use of item.*/tub.* field vocabulary and 'Destination' throughout, but no Related link back to Key Concepts."
help/app-links.mdx,"135-140 (Related section)","Related: Mitti Integration, Device Detection, Conditional Visibility, Pages Overview — no Key Concepts link",Destination / Link / Item,used-before-defined,"Uses Destination, Link and Item repeatedly (e.g. the three-level fallback table: Destination / Link / Item) but never links to the page that defines those entities."
industries/civil-construction.mdx,"whole page — no Related/Resources section at all","""Every excavator, loader, or crane gets a single QR code"" using Tub, Item, Link, Destination, Page implicitly throughout",Tub / Item / Link / Destination / Page,used-before-defined,"None of the 5 industry pages (civil-construction, contract-cleaning, arboriculture-tree-management, electrical-test-and-tag, local-government-councils) has a Related/Resources section or any link to help/key-concepts.mdx or any other definitional help page — confirmed by reading all five in full. Each page uses Tub ('Create Tub'), Item, Link, Destination and Page as established proper nouns throughout, with no inline glossary and no way for a cold reader (including the entire Industries tab, which is reachable directly from search/marketing without passing through Help) to find where these are defined. This is the single largest reading-order gap in the site; flagging civil-construction.mdx as the representative row for all 5 files since the defect is identical and total elimination of definitional links across an entire tab."
industries/contract-cleaning.mdx,"whole page — no Related/Resources section","Same pattern as civil-construction.mdx",Tub / Item / Link / Destination / Page,used-before-defined,"See civil-construction.mdx row — identical defect, listed per-file per audit instructions."
industries/arboriculture-tree-management.mdx,"whole page — no Related/Resources section","Same pattern as civil-construction.mdx",Tub / Item / Link / Destination / Page,used-before-defined,"See civil-construction.mdx row — identical defect."
industries/electrical-test-and-tag.mdx,"whole page — no Related/Resources section","Same pattern as civil-construction.mdx",Tub / Item / Link / Destination / Page,used-before-defined,"See civil-construction.mdx row — identical defect."
industries/local-government-councils.mdx,"whole page — no Related/Resources section","Same pattern as civil-construction.mdx",Tub / Item / Link / Destination / Page,used-before-defined,"See civil-construction.mdx row — identical defect."
qrtub.com (marketing homepage — external cross-check),"hero copy","""QRTub lets you change what happens when someone scans.""",QRtub,external-drift,"WebFetch of https://qrtub.com on 2026-08-19. GLOSSARY.md is explicit: 'Never: qrtub, QRTub, QrTub, QR Tub, Qrtub.' The live marketing homepage uses exactly the banned 'QRTub' casing (capital T) in running copy, while every one of the 20 audited mintlify-docs pages gets the brand casing right ('QRtub', capital QR / lowercase tub, verified by corpus-wide grep with zero mid-sentence casing violations found). The drift is on the marketing site, not in these docs — flagging per the audit's cross-check instruction so it can be fixed at the source."
qrtub.com (marketing homepage — external cross-check),"feature copy","""Turn any QR code into a multi-destination landing page"" described elsewhere on the page as ""Profile Page""",Page,external-drift,"Same WebFetch. The homepage uses capitalized 'Profile Page' as a product term — precisely the entry GLOSSARY.md's 'What NOT to Call Things' table forbids ('Profile Page (capitalised) → Page... One Page Editor, many uses'). mintlify-docs never does this (its only near-misses are the two verbatim-UI-label quotes in building-a-page.mdx, already flagged above, which explicitly describe today's app checkbox text rather than asserting it as the product noun). The marketing site has drifted further from GLOSSARY than the docs have."
qrtub.com/pricing (external cross-check),"feature list","""Update any link destination without reprinting""; ""Drag and drop landing page editor""",Destination / Page Editor,external-drift,"WebFetch of https://qrtub.com/pricing on 2026-08-19. Lowercase 'destination' and 'landing page editor' instead of GLOSSARY's capitalized 'Destination' and the canonical tool name 'Page Editor'. 'Landing page editor' also echoes the literal code identifier `LandingPageEditor` that GLOSSARY.md's 'Not Yet Aligned in the Product' table calls out as an internal name that should not leak into user-facing copy — here it has leaked into the pricing page."
